Date : 2023-11-15 19:57:08
Directory : c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src
Total : 248 files,  33103 codes, 416 comments, 2735 blanks, all 36254 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Click9\Click9.jsx                                     | JavaScript JSX |         91 |          4 |          3 |         98 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Click9\index.js                                       | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Click\Click.jsx                                       | JavaScript JSX |         91 |          4 |          3 |         98 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Click\index.js                                        | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\CombinedShape1\CombinedShape1.jsx                     | JavaScript JSX |         21 |          4 |          3 |         28 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\CombinedShape1\index.js                               | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\CombinedShape\CombinedShape.jsx                       | JavaScript JSX |         21 |          4 |          3 |         28 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\CombinedShape\index.js                                | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Icon3\Icon3.jsx                                       | JavaScript JSX |         15 |          4 |          3 |         22 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Icon3\index.js                                        | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\IconCheckmarkAlt\IconCheckmarkAlt.jsx                 | JavaScript JSX |         26 |          4 |          3 |         33 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\IconCheckmarkAlt\index.js                             | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\IconClose50\IconClose50.jsx                           | JavaScript JSX |         19 |          4 |          3 |         26 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\IconClose50\index.js                                  | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\IconCtaCaretClose19\IconCtaCaretClose19.jsx           | JavaScript JSX |         19 |          4 |          3 |         26 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\IconCtaCaretClose19\index.js                          | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\IconCtaCaretClose27\IconCtaCaretClose27.jsx           | JavaScript JSX |         19 |          4 |          3 |         26 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\IconCtaCaretClose27\index.js                          | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\IconCtaCaretOpen\IconCtaCaretOpen.jsx                 | JavaScript JSX |         19 |          4 |          3 |         26 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\IconCtaCaretOpen\index.js                             | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\IconDownload\IconDownload.jsx                         | JavaScript JSX |         20 |          4 |          3 |         27 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\IconDownload\index.js                                 | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\IconExport\IconExport.jsx                             | JavaScript JSX |         24 |          4 |          3 |         31 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\IconExport\index.js                                   | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\IconFilledCursor1\IconFilledCursor1.jsx               | JavaScript JSX |         65 |          4 |          3 |         72 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\IconFilledCursor1\index.js                            | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\IconFilterClear\IconFilterClear.jsx                   | JavaScript JSX |         26 |          4 |          3 |         33 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\IconFilterClear\index.js                              | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\IconFilterOff\IconFilterOff.jsx                       | JavaScript JSX |         26 |          4 |          3 |         33 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\IconFilterOff\index.js                                | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\IconFilter\IconFilter.jsx                             | JavaScript JSX |         21 |          4 |          3 |         28 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\IconFilter\index.js                                   | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\IconInfo3\IconInfo3.jsx                               | JavaScript JSX |         23 |          4 |          3 |         30 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\IconInfo3\index.js                                    | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\IconInfo\IconInfo.jsx                                 | JavaScript JSX |         23 |          4 |          3 |         30 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\IconInfo\index.js                                     | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\IconMinusLarge\IconMinusLarge.jsx                     | JavaScript JSX |         15 |          4 |          3 |         22 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\IconMinusLarge\index.js                               | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\IconPlusLarge3\IconPlusLarge3.jsx                     | JavaScript JSX |         19 |          4 |          3 |         26 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\IconPlusLarge3\index.js                               | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\IconPlusSmall\IconPlusSmall.jsx                       | JavaScript JSX |         15 |          4 |          3 |         22 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\IconPlusSmall\index.js                                | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\IconSaveFloppy\IconSaveFloppy.jsx                     | JavaScript JSX |         27 |          4 |          3 |         34 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\IconSaveFloppy\index.js                               | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\IconSearch\IconSearch.jsx                             | JavaScript JSX |         21 |          4 |          3 |         28 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\IconSearch\index.js                                   | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\IconUpload\IconUpload.jsx                             | JavaScript JSX |         20 |          4 |          3 |         27 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\IconUpload\index.js                                   | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Line\Line.jsx                                         | JavaScript JSX |         25 |          4 |          3 |         32 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Line\index.js                                         | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Path13\Path13.jsx                                     | JavaScript JSX |         19 |          4 |          3 |         26 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Path13\index.js                                       | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Path28\Path28.jsx                                     | JavaScript JSX |         19 |          4 |          3 |         26 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Path28\index.js                                       | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Path29\Path29.jsx                                     | JavaScript JSX |         19 |          4 |          3 |         26 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Path29\index.js                                       | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Path38\Path38.jsx                                     | JavaScript JSX |         19 |          4 |          3 |         26 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Path38\index.js                                       | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Path414\Path414.jsx                                   | JavaScript JSX |         19 |          4 |          3 |         26 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Path414\index.js                                      | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Path415\Path415.jsx                                   | JavaScript JSX |         19 |          4 |          3 |         26 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Path415\index.js                                      | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Path5\Path5.jsx                                       | JavaScript JSX |         19 |          4 |          3 |         26 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Path5\index.js                                        | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Path690\Path690.jsx                                   | JavaScript JSX |         19 |          4 |          3 |         26 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Path690\index.js                                      | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Path6\Path6.jsx                                       | JavaScript JSX |         19 |          4 |          3 |         26 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Path6\index.js                                        | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Shape1019\Shape1019.jsx                               | JavaScript JSX |         21 |          4 |          3 |         28 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Shape1019\index.js                                    | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Shape19\Shape19.jsx                                   | JavaScript JSX |         21 |          4 |          3 |         28 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Shape19\index.js                                      | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Shape2\Shape2.jsx                                     | JavaScript JSX |         21 |          4 |          3 |         28 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Shape2\index.js                                       | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Shape365\Shape365.jsx                                 | JavaScript JSX |         21 |          4 |          3 |         28 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Shape365\index.js                                     | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Shape561\Shape561.jsx                                 | JavaScript JSX |         21 |          4 |          3 |         28 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Shape561\index.js                                     | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Shape578\Shape578.jsx                                 | JavaScript JSX |         21 |          4 |          3 |         28 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Shape578\index.js                                     | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Shape830\Shape830.jsx                                 | JavaScript JSX |         21 |          4 |          3 |         28 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Shape830\index.js                                     | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Shape99\Shape99.jsx                                   | JavaScript JSX |         21 |          4 |          3 |         28 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Shape99\index.js                                      | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\StepActionsBgFocusCopy16\StepActionsBgFocusCopy16.jsx | JavaScript JSX |         23 |          4 |          3 |         30 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\StepActionsBgFocusCopy16\index.js                     | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\TabItemBar23\TabItemBar23.jsx                         | JavaScript JSX |         13 |          4 |          3 |         20 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\TabItemBar23\index.js                                 | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Vector10\Vector10.jsx                                 | JavaScript JSX |         60 |          4 |          3 |         67 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Vector10\index.js                                     | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Vector11\Vector11.jsx                                 | JavaScript JSX |         21 |          4 |          3 |         28 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Vector11\index.js                                     | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Vector6\Vector6.jsx                                   | JavaScript JSX |         60 |          4 |          3 |         67 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Vector6\index.js                                      | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Vector7\Vector7.jsx                                   | JavaScript JSX |         60 |          4 |          3 |         67 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Vector7\index.js                                      | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Vector8\Vector8.jsx                                   | JavaScript JSX |         60 |          4 |          3 |         67 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Vector8\index.js                                      | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Vector9\Vector9.jsx                                   | JavaScript JSX |         60 |          4 |          3 |         67 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Vector9\index.js                                      | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\index.jsx                                                   | JavaScript JSX |          6 |          0 |          3 |          9 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\screens\CbpmScreen\CbpmScreen.jsx                           | JavaScript JSX |        448 |          0 |          4 |        452 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\screens\CbpmScreen\index.js                                 | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\screens\CbpmScreen\style.css                                | CSS            |      1,186 |          0 |        134 |      1,320 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\screens\Cbpm\Cbpm.jsx                                       | JavaScript JSX |         83 |          0 |          5 |         88 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\screens\Cbpm\index.js                                       | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\screens\Cbpm\style.css                                      | CSS            |        133 |          1 |         25 |        159 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\screens\DivWrapper\DivWrapper.jsx                           | JavaScript JSX |        403 |          0 |          2 |        405 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\screens\DivWrapper\index.js                                 | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\screens\DivWrapper\style.css                                | CSS            |        973 |          0 |        111 |      1,084 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\screens\Screen10\Screen10.jsx                               | JavaScript JSX |        892 |          0 |          3 |        895 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\screens\Screen10\index.js                                   | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\screens\Screen10\style.css                                  | CSS            |      1,385 |          1 |        155 |      1,541 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\screens\Screen11\Screen11.jsx                               | JavaScript JSX |      1,247 |          0 |          3 |      1,250 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\screens\Screen11\index.js                                   | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\screens\Screen11\style.css                                  | CSS            |      1,487 |          1 |        164 |      1,652 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\screens\Screen12\Screen12.jsx                               | JavaScript JSX |      1,247 |          0 |          5 |      1,252 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\screens\Screen12\index.js                                   | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\screens\Screen12\style.css                                  | CSS            |      1,487 |          1 |        164 |      1,652 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\screens\Screen13\Screen13.jsx                               | JavaScript JSX |      1,014 |          0 |          3 |      1,017 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\screens\Screen13\index.js                                   | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\screens\Screen13\style.css                                  | CSS            |      1,499 |          1 |        168 |      1,668 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\screens\Screen14\Screen14.jsx                               | JavaScript JSX |      1,006 |          0 |          5 |      1,011 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\screens\Screen14\index.js                                   | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\screens\Screen14\style.css                                  | CSS            |      1,516 |          1 |        170 |      1,687 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\screens\Screen15\Screen15.jsx                               | JavaScript JSX |        996 |          1 |          5 |      1,002 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\screens\Screen15\index.js                                   | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\screens\Screen15\style.css                                  | CSS            |      1,489 |          1 |        167 |      1,657 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\screens\Screen3\Screen3.jsx                                 | JavaScript JSX |      1,202 |          0 |          3 |      1,205 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\screens\Screen3\index.js                                    | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\screens\Screen3\style.css                                   | CSS            |      2,954 |          0 |        259 |      3,213 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\screens\Screen4\Screen4.jsx                                 | JavaScript JSX |        288 |          0 |          2 |        290 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\screens\Screen4\index.js                                    | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\screens\Screen4\style.css                                   | CSS            |      1,012 |          0 |        118 |      1,130 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\screens\Screen5\Screen5.jsx                                 | JavaScript JSX |        111 |          0 |          2 |        113 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\screens\Screen5\index.js                                    | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\screens\Screen5\style.css                                   | CSS            |        412 |          0 |         49 |        461 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\screens\Screen6\Screen6.jsx                                 | JavaScript JSX |        113 |          0 |          2 |        115 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\screens\Screen6\index.js                                    | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\screens\Screen6\style.css                                   | CSS            |        298 |          0 |         34 |        332 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\screens\Screen7\Screen7.jsx                                 | JavaScript JSX |        228 |          0 |          2 |        230 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\screens\Screen7\index.js                                    | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\screens\Screen7\style.css                                   | CSS            |        720 |          0 |         88 |        808 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\screens\Screen8\Screen8.jsx                                 | JavaScript JSX |        286 |          0 |          2 |        288 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\screens\Screen8\index.js                                    | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\screens\Screen8\style.css                                   | CSS            |      1,004 |          0 |        117 |      1,121 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\screens\Screen9\Screen9.jsx                                 | JavaScript JSX |        293 |          0 |          2 |        295 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\screens\Screen9\index.js                                    | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\screens\Screen9\style.css                                   | CSS            |      1,015 |          0 |        120 |      1,135 |
| Total                                                                                                                                                |                |     33,103 |        416 |      2,735 |     36,254 |
+------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
